pays;reseau;nom;cle;N;Nobs;manquant;p60;p300;p600;dispersion;annulJour;arretsSupprJour;jours;verdict;motif
France;fr_sncf;Sathonay - Rillieux;fr_sncf|UIC87723700;14.3;1.5;89;83.3;100;100;16.7;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15 , trop parfaite : aucun retard superieur a 5 min
France;fr_sncf;Geispolsheim;fr_sncf|UIC87212258;13.5;1.5;89;50;100;100;50;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15 , trop parfaite : aucun retard superieur a 5 min
France;fr_sncf;Soissons;fr_sncf|UIC87271817;13.5;1.5;89;100;100;100;0;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15 , trop parfaite : 100 % a moins de 60 s
France;fr_sncf;Villers-Cotterêts;fr_sncf|UIC87271734;13.5;1.5;89;83.3;83.3;100;16.7;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15
France;fr_sncf;Hochfelden;fr_sncf|UIC87212167;13.3;1.5;89;83.3;100;100;16.7;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15 , trop parfaite : aucun retard superieur a 5 min
France;fr_sncf;Les Échets;fr_sncf|UIC87723718;13.3;1.5;89;83.3;100;100;16.7;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15 , trop parfaite : aucun retard superieur a 5 min
France;fr_sncf;Stephansfeld;fr_sncf|UIC87212126;13;1.5;88;66.7;83.3;100;33.3;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15
France;fr_sncf;Schwindratzheim;fr_sncf|UIC87212159;13;1.5;88;83.3;100;100;16.7;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15 , trop parfaite : aucun retard superieur a 5 min
France;fr_sncf;Wilwisheim;fr_sncf|UIC87212175;13;1.5;88;83.3;100;100;16.7;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15 , trop parfaite : aucun retard superieur a 5 min
France;fr_sncf;Landerneau;fr_sncf|UIC87474239;13;1.5;88;50;83.3;83.3;33.3;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15
France;fr_sncf;Krimmeri Meinau;fr_sncf|UIC87338525;12.5;1.5;88;66.7;66.7;83.3;16.7;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15
France;fr_sncf;Duppigheim;fr_sncf|UIC87214536;12.5;1.5;88;100;100;100;0;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15 , trop parfaite : 100 % a moins de 60 s
France;fr_sncf;Artix;fr_sncf|UIC87672212;12.5;1.5;88;16.7;83.3;83.3;66.7;0.25;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15
France;fr_sncf;Strasbourg Roethig;fr_sncf|UIC87212191;12.3;1.5;88;100;100;100;0;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15 , trop parfaite : 100 % a moins de 60 s
France;fr_sncf;Lingolsheim;fr_sncf|UIC87214502;12.3;1.5;88;100;100;100;0;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15 , trop parfaite : 100 % a moins de 60 s
France;fr_sncf;Thaon;fr_sncf|UIC87144097;12;1.5;88;66.7;66.7;83.3;16.7;0;0.5;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15
France;fr_sncf;Châtel - Nomexy;fr_sncf|UIC87144071;12;1.5;88;66.7;66.7;83.3;16.7;0;0.25;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15
France;fr_sncf;Bayon;fr_sncf|UIC87141218;12;1.5;88;50;66.7;83.3;33.3;0;0.25;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15
France;fr_sncf;Vitry-le-François;fr_sncf|UIC87174276;11.8;1.5;87;83.3;83.3;83.3;0;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15 , distribution degeneree : dispersion 0.0 pt
France;fr_sncf;Val-de-Reuil;fr_sncf|UIC87415877;11.5;1.5;87;83.3;83.3;83.3;0;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15 , distribution degeneree : dispersion 0.0 pt
France;fr_sncf;Clisson;fr_sncf|UIC87481440;11.5;1.5;87;83.3;83.3;100;16.7;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15
France;fr_sncf;Rives;fr_sncf|UIC87747246;11.3;1.5;87;83.3;100;100;16.7;0;0.25;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15 , trop parfaite : aucun retard superieur a 5 min
