pays;reseau;nom;cle;Nobs;echantillon;p60;p300;dispersion;famille;motif
France;fr_sncf;Kork;fr_sncf|UIC80142919;2.5;10;60;80;30;A_QUALIFIER;
France;fr_sncf;Legelshurst;fr_sncf|UIC80142901;2.8;11;54.5;90.9;36.4;A_QUALIFIER;
France;fr_sncf;Appenweier;fr_sncf|UIC80142893;3.8;15;53.3;93.3;40;A_QUALIFIER;
France;fr_sncf;Geispolsheim;fr_sncf|UIC87212258;1.5;6;50;100;50;QUARANTAINE;aucun retard superieur a 5 min
France;fr_sncf;Anizy - Pinon;fr_sncf|UIC87296566;2.3;9;77.8;88.9;11.1;A_QUALIFIER;
France;fr_sncf;Soissons;fr_sncf|UIC87271817;1.5;6;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Villers-Cotterêts;fr_sncf|UIC87271734;1.5;6;83.3;83.3;16.7;A_QUALIFIER;
France;fr_sncf;Trouville - Deauville;fr_sncf|UIC87444372;1.8;7;71.4;100;28.6;QUARANTAINE;aucun retard superieur a 5 min
France;fr_sncf;Lauterbourg;fr_sncf|UIC87212464;4.3;17;94.1;94.1;5.9;A_QUALIFIER;
France;fr_sncf;Le Puy-en-Velay;fr_sncf|UIC87734699;2.3;14;92.9;92.9;0;QUARANTAINE;dispersion 0.0 pt
France;fr_sncf;Riom - Châtel-Guyon;fr_sncf|UIC87734053;4.8;29;89.7;96.6;6.9;A_QUALIFIER;
France;fr_sncf;Besançon Franche-Comté TGV;fr_sncf|UIC87300863;2;12;41.7;75;41.7;A_QUALIFIER;
Allemagne;de_gtfsde;Norsingen Bahnhof;de_gtfsde|norsingenbahnhof@47.94,7.73;9.2;46;56.5;91.3;39.1;A_QUALIFIER;
France;fr_sncf;Montpellier Sud de France;fr_sncf|UIC87688887;3.6;18;27.8;33.3;22.2;A_QUALIFIER;
France;fr_sncf;Lyon-Saint-Paul Quai de Bondy;fr_sncf|UIC87698332;9;45;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
Etats-Unis;us_mta_lirr;;us_mta_lirr|100;10;50;44;86;52;A_QUALIFIER;
Etats-Unis;us_mta_lirr;;us_mta_lirr|74;10.6;53;41.5;88.7;56.6;A_QUALIFIER;
Etats-Unis;us_mta_lirr;;us_mta_lirr|157;10.8;54;44.4;88.9;53.7;A_QUALIFIER;
Pays-Bas;nl_ovapi;Berlin-Spandau;nl_ovapi|berlinspandau@52.53,13.20;6.3;38;28.9;60.5;50;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|358353;4.8;19;68.4;89.5;31.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|338136;3.3;13;30.8;46.2;23.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|296219;8;32;59.4;71.9;25;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|288030;12.8;51;80.4;94.1;17.6;A_QUALIFIER;
France;fr_sncf;Hochfelden;fr_sncf|UIC87212167;1.5;6;83.3;100;16.7;QUARANTAINE;aucun retard superieur a 5 min
France;fr_sncf;Dettwiller;fr_sncf|UIC87212183;1.8;7;85.7;100;14.3;QUARANTAINE;aucun retard superieur a 5 min
France;fr_sncf;Steinbourg;fr_sncf|UIC87212209;1.8;7;85.7;100;14.3;QUARANTAINE;aucun retard superieur a 5 min
France;fr_sncf;Saint-Marcel en Dombes;fr_sncf|UIC87723742;1.3;5;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Mionnay;fr_sncf|UIC87723726;1.3;5;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Les Échets;fr_sncf|UIC87723718;1.5;6;83.3;100;16.7;QUARANTAINE;aucun retard superieur a 5 min
France;fr_sncf;Gazeran;fr_sncf|UIC87393348;2;8;87.5;100;12.5;QUARANTAINE;aucun retard superieur a 5 min
Allemagne;de_gtfsde;Angermünde, Bahnhof;de_gtfsde|angermndebahnhof@53.02,14.00;4.2;21;71.4;100;28.6;QUARANTAINE;aucun retard superieur a 5 min
Allemagne;de_gtfsde;Herbertshofen;de_gtfsde|herbertshofen@48.53,10.85;11.2;56;60.7;91.1;35.7;A_QUALIFIER;
Pays-Bas;nl_ovapi;Düsseldorf Hbf;nl_ovapi|dsseldorfhbf@51.22,6.79;2.4;12;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Aime - La Plagne;fr_sncf|UIC87741769;2.8;17;88.2;88.2;0;QUARANTAINE;dispersion 0.0 pt
France;fr_sncf;Landry;fr_sncf|UIC87741777;3.5;21;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Modane;fr_sncf|UIC87742007;3.3;20;85;90;10;A_QUALIFIER;
France;fr_sncf;Notre-Dame de Briançon;fr_sncf|UIC87741694;2.8;17;58.8;88.2;29.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|651427;5.8;23;39.1;69.6;39.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|416012;5;20;50;75;35;A_QUALIFIER;
Allemagne;de_gtfsde;Leubingen;de_gtfsde|leubingen@51.21,11.15;4.8;19;42.1;89.5;52.6;A_QUALIFIER;
Allemagne;de_gtfsde;Vellmar-Obervellmar Bahnhof;de_gtfsde|vellmarobervellmarbahnhof@51.36,9.45;5.8;23;82.6;95.7;13;A_QUALIFIER;
France;fr_sncf;Forbach;fr_sncf|UIC87193003;1;4;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Metzeral;fr_sncf|UIC87182816;1.3;5;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Graffenstaden;fr_sncf|UIC87212241;1.8;7;42.9;100;57.1;QUARANTAINE;aucun retard superieur a 5 min
France;fr_sncf;Stephansfeld;fr_sncf|UIC87212126;1.5;6;66.7;83.3;33.3;A_QUALIFIER;
France;fr_sncf;Schwindratzheim;fr_sncf|UIC87212159;1.5;6;83.3;100;16.7;QUARANTAINE;aucun retard superieur a 5 min
France;fr_sncf;Wilwisheim;fr_sncf|UIC87212175;1.5;6;83.3;100;16.7;QUARANTAINE;aucun retard superieur a 5 min
France;fr_sncf;Saint-Hilaire - Saint-Nazaire;fr_sncf|UIC87761684;3.8;19;42.1;57.9;15.8;A_QUALIFIER;
France;fr_sncf;Bergerac;fr_sncf|UIC87584268;4;16;43.8;75;50;A_QUALIFIER;
France;fr_sncf;Sainte-Foy-la-Grande;fr_sncf|UIC87584193;2;8;50;50;50;A_QUALIFIER;
France;fr_sncf;Vélines;fr_sncf|UIC87584177;2;8;37.5;37.5;62.5;A_QUALIFIER;
France;fr_sncf;Castillon;fr_sncf|UIC87584136;3.3;13;46.2;53.8;38.5;A_QUALIFIER;
France;fr_sncf;Saint-Émilion;fr_sncf|UIC87584102;2.5;10;50;50;40;A_QUALIFIER;
France;fr_sncf;Frontenex;fr_sncf|UIC87741629;2.5;15;53.3;66.7;20;A_QUALIFIER;
France;fr_sncf;Grésy-sur-Isère;fr_sncf|UIC87741611;2.3;14;42.9;71.4;35.7;A_QUALIFIER;
France;fr_sncf;Landerneau;fr_sncf|UIC87474239;1.5;6;50;83.3;33.3;A_QUALIFIER;
Pays-Bas;nl_ovapi;Duisburg Hbf;nl_ovapi|duisburghbf@51.43,6.77;1.2;6;83.3;100;16.7;QUARANTAINE;aucun retard superieur a 5 min
Etats-Unis;us_mbta;Norfolk;us_mbta|norfolk@42.12,-71.33;6.8;34;100;100;0;EXCLUE;source rejetee en bloc
Pays-Bas;nl_ovapi;Hannover Hbf;nl_ovapi|hannoverhbf@52.38,9.74;6.8;41;29.3;43.9;39;A_QUALIFIER;
Allemagne;de_gtfsde;Mergelstetten Bahnhof;de_gtfsde|mergelstettenbahnhof@48.65,10.16;8.4;42;54.8;81;28.6;A_QUALIFIER;
France;fr_sncf;Arches;fr_sncf|UIC87144410;3.4;17;76.5;76.5;11.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|650683;7;28;78.6;100;21.4;QUARANTAINE;aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|90774;3.8;15;46.7;73.3;40;A_QUALIFIER;
Allemagne;de_gtfsde;Bad Sooden-Allendorf;de_gtfsde|badsoodenallendorf@51.27,9.97;6.8;27;74.1;92.6;25.9;A_QUALIFIER;
France;fr_sncf;Wesserling;fr_sncf|UIC87182618;0.8;3;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Cambrai;fr_sncf|UIC87345520;2;8;50;62.5;12.5;A_QUALIFIER;
France;fr_sncf;Puyoô;fr_sncf|UIC87672279;3;12;50;75;41.7;A_QUALIFIER;
France;fr_sncf;Munster;fr_sncf|UIC87182394;1.3;5;80;80;0;QUARANTAINE;dispersion 0.0 pt
Allemagne;de_gtfsde;Bad Ems Westbahnhof;de_gtfsde|bademswestbahnhof@50.33,7.71;4.5;27;55.6;66.7;18.5;A_QUALIFIER;
Allemagne;de_gtfsde;Salzburg Parsch;de_gtfsde|salzburgparsch@47.80,13.07;4.2;21;42.9;71.4;42.9;A_QUALIFIER;
Etats-Unis;us_mbta;Lynn Interim;us_mbta|lynninterim@42.47,-70.94;7.6;38;100;100;0;EXCLUE;source rejetee en bloc
Allemagne;de_gtfsde;;de_gtfsde|519135;7.8;31;38.7;67.7;38.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|576177;5.3;21;57.1;76.2;33.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|150345;5.8;23;73.9;100;26.1;QUARANTAINE;aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|560179;8.5;34;61.8;97.1;35.3;A_QUALIFIER;
France;fr_sncf;Krimmeri Meinau;fr_sncf|UIC87338525;1.5;6;66.7;66.7;16.7;A_QUALIFIER;
France;fr_sncf;Les Deux Jumeaux;fr_sncf|UIC87677104;1.8;7;71.4;71.4;0;QUARANTAINE;dispersion 0.0 pt
France;fr_sncf;Herrlisheim;fr_sncf|UIC87212340;2.3;9;77.8;100;22.2;QUARANTAINE;aucun retard superieur a 5 min
France;fr_sncf;Vernon - Giverny;fr_sncf|UIC87415604;2.3;9;77.8;88.9;11.1;A_QUALIFIER;
France;fr_sncf;Oissel;fr_sncf|UIC87411207;1.8;7;85.7;85.7;0;QUARANTAINE;dispersion 0.0 pt
France;fr_sncf;Duppigheim;fr_sncf|UIC87214536;1.5;6;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Duttlenheim;fr_sncf|UIC87214544;1.3;5;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Dachstein;fr_sncf|UIC87214551;1.8;7;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Artix;fr_sncf|UIC87672212;1.5;6;16.7;83.3;66.7;A_QUALIFIER;
France;fr_sncf;Belfort - Montbéliard TGV;fr_sncf|UIC87300822;2.7;16;43.8;81.3;37.5;A_QUALIFIER;
France;fr_sncf;Niort;fr_sncf|UIC87485300;0.8;3;0;100;100;QUARANTAINE;aucun retard superieur a 5 min
Etats-Unis;us_mbta;Worcester;us_mbta|worcester@42.26,-71.79;6.7;40;100;100;0;EXCLUE;source rejetee en bloc
Allemagne;de_gtfsde;Bad Belzig, Bahnhof;de_gtfsde|badbelzigbahnhof@52.14,12.60;4.8;24;54.2;87.5;41.7;A_QUALIFIER;
Allemagne;de_gtfsde;Graal-Müritz Koppelweg;de_gtfsde|graalmritzkoppelweg@54.25,12.24;6.8;34;41.2;82.4;55.9;A_QUALIFIER;
France;fr_sncf;Seyssel - Corbonod;fr_sncf|UIC87745828;2.8;14;21.4;64.3;50;A_QUALIFIER;
France;fr_sncf;Évreux Normandie;fr_sncf|UIC87387001;1.6;8;50;75;25;A_QUALIFIER;
France;fr_sncf;Lyon-Saint-Paul La Feuillée;fr_sncf|UIC87698340;1;5;60;100;40;QUARANTAINE;aucun retard superieur a 5 min
Etats-Unis;us_mbta;Beverly;us_mbta|beverly@42.55,-70.89;6;30;100;100;0;EXCLUE;source rejetee en bloc
Etats-Unis;us_mbta;Swampscott;us_mbta|swampscott@42.47,-70.92;6;30;100;100;0;EXCLUE;source rejetee en bloc
France;fr_sncf;Strasbourg Roethig;fr_sncf|UIC87212191;1.5;6;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Lingolsheim;fr_sncf|UIC87214502;1.5;6;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Kruth;fr_sncf|UIC87182642;1.3;5;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Guéthary;fr_sncf|UIC87673459;1.3;5;60;100;40;QUARANTAINE;aucun retard superieur a 5 min
France;fr_sncf;Turckheim;fr_sncf|UIC87182352;2.3;9;55.6;66.7;33.3;A_QUALIFIER;
France;fr_sncf;Wihr-au-Val - Soultzbach;fr_sncf|UIC87182378;1;4;75;75;0;QUARANTAINE;dispersion 0.0 pt
France;fr_sncf;Breitenbach;fr_sncf|UIC87182659;1.3;5;80;80;0;QUARANTAINE;dispersion 0.0 pt
France;fr_sncf;Muhlbach-sur-Munster;fr_sncf|UIC87182733;1.3;5;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Toul;fr_sncf|UIC87141044;2;8;50;75;37.5;A_QUALIFIER;
France;fr_sncf;Issoire;fr_sncf|UIC87734202;2.8;14;64.3;71.4;14.3;A_QUALIFIER;
France;fr_sncf;Saint-Paul-de-Varax;fr_sncf|UIC87723783;1.6;8;75;87.5;25;A_QUALIFIER;
France;fr_sncf;Villars-les-Dombes;fr_sncf|UIC87723759;1.4;7;85.7;100;14.3;QUARANTAINE;aucun retard superieur a 5 min
Etats-Unis;us_mbta;Franklin;us_mbta|franklin@42.08,-71.40;6.4;32;100;100;0;EXCLUE;source rejetee en bloc
Etats-Unis;us_mbta;Salem;us_mbta|salem@42.52,-70.90;6;30;100;100;0;EXCLUE;source rejetee en bloc
Etats-Unis;us_mbta;Walpole;us_mbta|walpole@42.15,-71.26;6.4;32;100;100;0;EXCLUE;source rejetee en bloc
France;fr_sncf;Échirolles;fr_sncf|UIC87725895;3.5;21;76.2;81;9.5;A_QUALIFIER;
Allemagne;de_gtfsde;Dortmund Kirchderne Bf;de_gtfsde|dortmundkirchdernebf@51.55,7.51;8.6;43;25.6;65.1;55.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|124577;6.5;26;34.6;80.8;53.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|131350;5.3;21;76.2;100;23.8;QUARANTAINE;aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|513203;9.8;39;46.2;74.4;43.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|360498;7.3;29;51.7;82.8;37.9;A_QUALIFIER;
France;fr_sncf;Thaon;fr_sncf|UIC87144097;1.5;6;66.7;66.7;16.7;A_QUALIFIER;
France;fr_sncf;Châtel - Nomexy;fr_sncf|UIC87144071;1.5;6;66.7;66.7;16.7;A_QUALIFIER;
France;fr_sncf;Thann Saint-Jacques;fr_sncf|UIC87182881;1.3;5;80;80;20;A_QUALIFIER;
France;fr_sncf;Bayon;fr_sncf|UIC87141218;1.5;6;50;66.7;33.3;A_QUALIFIER;
France;fr_sncf;Gambsheim;fr_sncf|UIC87212332;2;8;87.5;100;12.5;QUARANTAINE;aucun retard superieur a 5 min
Etats-Unis;us_mbta;Hyde Park;us_mbta|hydepark@42.26,-71.13;8.3;50;100;100;0;EXCLUE;source rejetee en bloc
France;fr_sncf;Lyon Saint-Exupéry TGV;fr_sncf|UIC87762906;1.6;8;12.5;62.5;62.5;A_QUALIFIER;
Allemagne;de_gtfsde;Markelfingen Bahnhof;de_gtfsde|markelfingenbahnhof@47.74,9.00;0.8;3;66.7;66.7;0;QUARANTAINE;dispersion 0.0 pt
Allemagne;de_gtfsde;;de_gtfsde|551767;3;12;66.7;91.7;25;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|621428;2.5;10;60;80;30;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|262633;8.8;35;14.3;60;82.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|634045;8;32;31.3;65.6;62.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|180907;8.3;33;15.2;60.6;78.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|523784;7.8;31;48.4;71;48.4;A_QUALIFIER;
France;fr_sncf;Lyon-Part-Dieu Gare Routière;fr_sncf|UIC87697128;3;12;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Chaumont;fr_sncf|UIC87142000;1.3;5;80;100;20;QUARANTAINE;aucun retard superieur a 5 min
France;fr_sncf;Vitry-le-François;fr_sncf|UIC87174276;1.5;6;83.3;83.3;0;QUARANTAINE;dispersion 0.0 pt
France;fr_sncf;Courthézon;fr_sncf|UIC87765180;3.8;15;66.7;93.3;33.3;A_QUALIFIER;
Pays-Bas;nl_ovapi;Dortmund Hbf;nl_ovapi|dortmundhbf@51.52,7.46;7;28;25;42.9;32.1;A_QUALIFIER;
France;fr_sncf;Bas - Monistrol;fr_sncf|UIC87726778;1.8;11;54.5;63.6;27.3;A_QUALIFIER;
France;fr_sncf;Épierre - Saint-Léger;fr_sncf|UIC87741280;2.2;13;38.5;61.5;38.5;A_QUALIFIER;
France;fr_sncf;Chamousset;fr_sncf|UIC87741231;2.2;13;23.1;46.2;30.8;A_QUALIFIER;
France;fr_sncf;Saint-Sulpice - Izon;fr_sncf|UIC87584722;2.7;16;62.5;87.5;37.5;A_QUALIFIER;
France;fr_sncf;Saint-Loubès;fr_sncf|UIC87584730;3;18;66.7;88.9;33.3;A_QUALIFIER;
France;fr_sncf;La Gorp;fr_sncf|UIC87584755;2.8;17;58.8;82.4;35.3;A_QUALIFIER;
France;fr_sncf;Jouy;fr_sncf|UIC87394155;2.4;12;75;91.7;16.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|344510;6.5;26;88.5;100;11.5;QUARANTAINE;aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|541808;2;8;37.5;75;37.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|336649;1.8;7;42.9;57.1;14.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|304161;3.5;14;64.3;78.6;21.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|375359;3;12;58.3;75;25;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|300328;6;24;41.7;66.7;58.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|606442;6.5;26;73.1;80.8;15.4;A_QUALIFIER;
France;fr_sncf;Montchanin;fr_sncf|UIC87694307;1.3;5;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Saint-Amarin;fr_sncf|UIC87182600;0.8;3;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Moosch;fr_sncf|UIC87182592;0.8;3;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Val-de-Reuil;fr_sncf|UIC87415877;1.5;6;83.3;83.3;0;QUARANTAINE;dispersion 0.0 pt
France;fr_sncf;Gaillon - Aubevoye;fr_sncf|UIC87415620;2;8;75;87.5;12.5;A_QUALIFIER;
France;fr_sncf;Clisson;fr_sncf|UIC87481440;1.5;6;83.3;83.3;16.7;A_QUALIFIER;
France;fr_sncf;Oderen;fr_sncf|UIC87182634;1;4;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Fellering;fr_sncf|UIC87182626;0.8;3;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Saint-Vincent-de-Tyrosse;fr_sncf|UIC87673277;2.4;12;50;91.7;41.7;A_QUALIFIER;
France;fr_sncf;Saint-André-de-Corcy;fr_sncf|UIC87723734;1.2;6;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
Allemagne;de_gtfsde;Schkeuditz;de_gtfsde|schkeuditz@51.40,12.22;6;36;75;86.1;22.2;A_QUALIFIER;
France;fr_sncf;Aiguebelle;fr_sncf|UIC87741256;2;12;25;41.7;41.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|150482;5;20;50;70;30;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|298503;4.5;18;88.9;94.4;11.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|513022;5;20;85;95;15;A_QUALIFIER;
Allemagne;de_gtfsde;Teschow (b Neubukow);de_gtfsde|teschowbneubukow@53.99,11.64;4.3;17;41.2;82.4;47.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|69983;8.3;33;18.2;87.9;78.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|577528;6;24;45.8;70.8;41.7;A_QUALIFIER;
Allemagne;de_gtfsde;Alte Veste;de_gtfsde|alteveste@49.45,10.97;7.3;29;69;89.7;27.6;A_QUALIFIER;
Allemagne;de_gtfsde;Westerstetten Bahnhof;de_gtfsde|westerstettenbahnhof@48.52,9.95;6.5;26;53.8;92.3;42.3;A_QUALIFIER;
Allemagne;de_gtfsde;Herrnburg Bahnhof;de_gtfsde|herrnburgbahnhof@53.84,10.76;7.8;31;38.7;93.5;54.8;A_QUALIFIER;
France;fr_sncf;Ranspach;fr_sncf|UIC87182402;0.8;3;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Saint-Dizier;fr_sncf|UIC87175000;1.8;7;57.1;71.4;42.9;A_QUALIFIER;
France;fr_sncf;Gièvres;fr_sncf|UIC87576876;0.8;3;66.7;66.7;0;QUARANTAINE;dispersion 0.0 pt
France;fr_sncf;Surdon;fr_sncf|UIC87444562;1.8;7;42.9;71.4;42.9;A_QUALIFIER;
France;fr_sncf;Rives;fr_sncf|UIC87747246;1.5;6;83.3;100;16.7;QUARANTAINE;aucun retard superieur a 5 min
France;fr_sncf;Virieu-le-Grand - Belley;fr_sncf|UIC87741504;2;10;30;60;30;A_QUALIFIER;
France;fr_sncf;Franchet d'Esperey;fr_sncf|UIC87417444;2;10;90;90;10;A_QUALIFIER;
France;fr_sncf;Reims Maison Blanche;fr_sncf|UIC87171272;2;10;90;90;10;A_QUALIFIER;
France;fr_sncf;La Pauline;fr_sncf|UIC87755314;2.4;12;41.7;75;41.7;A_QUALIFIER;
France;fr_sncf;La Garde;fr_sncf|UIC87755306;1.8;9;44.4;66.7;33.3;A_QUALIFIER;
France;fr_sncf;Toulon Sainte-Musse;fr_sncf|UIC87742262;1.8;9;33.3;66.7;44.4;A_QUALIFIER;
France;fr_sncf;Alès;fr_sncf|UIC87775288;1.8;9;55.6;66.7;11.1;A_QUALIFIER;
France;fr_sncf;Gap;fr_sncf|UIC87763003;2.6;13;53.8;84.6;38.5;A_QUALIFIER;
Pays-Bas;nl_ovapi;Berlin Hbf;nl_ovapi|berlinhbf@52.52,13.37;3.8;19;21.1;57.9;47.4;A_QUALIFIER;
Etats-Unis;us_mbta;Fall River Depot;us_mbta|fallriverdepot@41.71,-71.15;4.6;23;100;100;0;EXCLUE;source rejetee en bloc
Etats-Unis;us_mta_lirr;;us_mta_lirr|198;8.2;41;22;68.3;65.9;A_QUALIFIER;
France;fr_sncf;Retournac;fr_sncf|UIC87734749;1.8;11;54.5;72.7;27.3;A_QUALIFIER;
France;fr_sncf;Aurec;fr_sncf|UIC87726760;1.7;10;70;70;20;A_QUALIFIER;
France;fr_sncf;Vorey;fr_sncf|UIC87734723;1.8;11;54.5;81.8;27.3;A_QUALIFIER;
Pays-Bas;nl_ovapi;Gramsbergen;nl_ovapi|gramsbergen@52.61,6.68;7.8;47;44.7;97.9;55.3;A_QUALIFIER;
Pays-Bas;nl_ovapi;Dalen;nl_ovapi|dalen@52.69,6.76;8.3;50;22;98;78;A_QUALIFIER;
Etats-Unis;us_mbta;Freetown;us_mbta|freetown@41.77,-71.09;6;36;100;100;0;EXCLUE;source rejetee en bloc
Allemagne;de_gtfsde;;de_gtfsde|257581;5.3;21;66.7;90.5;23.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|117294;8.3;33;57.6;90.9;42.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|439968;7.5;30;56.7;83.3;36.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|476808;3.5;14;64.3;92.9;35.7;A_QUALIFIER;
France;fr_sncf;Moulins sur Allier;fr_sncf|UIC87696328;2;8;25;62.5;37.5;A_QUALIFIER;
France;fr_sncf;Mont-de-Marsan;fr_sncf|UIC87671016;1.5;6;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Montbard;fr_sncf|UIC87713131;1.6;8;37.5;75;50;A_QUALIFIER;
France;fr_sncf;Hoenheim Tram;fr_sncf|UIC87338517;2.8;11;63.6;100;36.4;QUARANTAINE;aucun retard superieur a 5 min
France;fr_sncf;Lorraine TGV;fr_sncf|UIC87142109;2.8;14;78.6;78.6;7.1;A_QUALIFIER;
France;fr_sncf;Meuse TGV;fr_sncf|UIC87147322;2;10;60;70;10;A_QUALIFIER;
France;fr_sncf;Colmar Saint-Joseph;fr_sncf|UIC87181222;2;8;62.5;87.5;25;A_QUALIFIER;
Pays-Bas;nl_ovapi;Kerkrade Centrum;nl_ovapi|kerkradecentrum@50.86,6.06;8;32;93.8;100;6.3;QUARANTAINE;aucun retard superieur a 5 min
Etats-Unis;us_mta_mnr;;us_mta_mnr|151;5.3;21;47.6;81;52.4;A_QUALIFIER;
France;fr_sncf;La Souterraine;fr_sncf|UIC87592378;1.2;6;50;66.7;16.7;A_QUALIFIER;
France;fr_sncf;Rosporden;fr_sncf|UIC87474155;2.2;11;81.8;90.9;9.1;A_QUALIFIER;
Pays-Bas;nl_ovapi;Paris-Nord;nl_ovapi|parisnord@48.88,2.36;0.6;3;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
Etats-Unis;us_mbta;Church Street;us_mbta|churchstreet@41.67,-70.94;7.4;37;100;100;0;EXCLUE;source rejetee en bloc
