pays;reseau;nom;cle;Nobs;echantillon;p60;p300;dispersion;famille;motif
Allemagne;de_gtfsde;;de_gtfsde|12852;12;48;75;100;25;QUARANTAINE;aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|269979;13.3;53;64.2;90.6;32.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|207127;13.3;53;32.1;62.3;52.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|592693;6;24;33.3;62.5;37.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|543041;14.3;57;49.1;82.5;38.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|388345;8.5;34;79.4;100;20.6;QUARANTAINE;aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|149352;15;60;46.7;80;48.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|133477;16.8;67;34.3;79.1;56.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|461302;13.3;53;73.6;90.6;22.6;A_QUALIFIER;
France;fr_sncf;Mitry - Claye;fr_sncf|UIC87271528;10.8;43;69.8;93;27.9;A_QUALIFIER;
Pays-Bas;nl_ovapi;Apeldoorn Osseveld;nl_ovapi|apeldoornosseveld@52.22,6.01;14.5;87;56.3;90.8;43.7;A_QUALIFIER;
Pays-Bas;nl_ovapi;Twello;nl_ovapi|twello@52.24,6.10;15.2;91;76.9;92.3;23.1;A_QUALIFIER;
Etats-Unis;us_mta_lirr;;us_mta_lirr|91;12.6;63;25.4;74.6;74.6;A_QUALIFIER;
Australie;au_translink_seq;Hendra station;au_translink_seq|hendrastation@-27.42,153.06;6.3;38;52.6;100;47.4;QUARANTAINE;aucun retard superieur a 5 min
Australie;au_translink_seq;Clayfield station;au_translink_seq|clayfieldstation@-27.42,153.06;6;36;75;100;25;QUARANTAINE;aucun retard superieur a 5 min
Etats-Unis;us_mta_mnr;;us_mta_mnr|160;14;84;23.8;82.1;73.8;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|158;13.7;82;22;80.5;74.4;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|161;14.2;85;23.5;82.4;74.1;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|162;14;84;22.6;83.3;75;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|163;12.7;76;23.7;84.2;73.7;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|164;10.8;65;27.7;86.2;69.2;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|165;8.5;51;33.3;90.2;64.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|446264;11.3;45;66.7;88.9;28.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|119684;12;48;43.8;85.4;50;A_QUALIFIER;
Allemagne;de_gtfsde;Potsdam, Park Sanssouci Bhf;de_gtfsde|potsdamparksanssoucibhf@52.39,13.02;8.3;33;66.7;84.8;21.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|159692;9.5;38;86.8;100;13.2;QUARANTAINE;aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|70546;11;44;59.1;77.3;31.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|249873;12.8;51;58.8;82.4;31.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|36832;13.8;55;36.4;70.9;43.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|286311;7;28;42.9;64.3;35.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|604800;7.5;30;46.7;66.7;33.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|135066;8.5;34;47.1;73.5;32.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|417522;12.8;51;39.2;80.4;54.9;A_QUALIFIER;
Allemagne;de_gtfsde;Schallstadt Bahnhof;de_gtfsde|schallstadtbahnhof@47.96,7.75;14.8;59;69.5;91.5;23.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|638657;9.8;39;51.3;92.3;43.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|130851;11.5;46;84.8;97.8;15.2;A_QUALIFIER;
France;fr_sncf;Rosheim;fr_sncf|UIC87214320;2.5;10;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Barr;fr_sncf|UIC87214247;3.3;13;84.6;84.6;15.4;A_QUALIFIER;
Australie;au_translink_seq;Doomben station;au_translink_seq|doombenstation@-27.43,153.07;6.2;37;56.8;100;43.2;QUARANTAINE;aucun retard superieur a 5 min
Etats-Unis;us_mbta;Route 128;us_mbta|route128@42.21,-71.15;13.5;81;100;100;0;EXCLUE;source rejetee en bloc
Allemagne;de_gtfsde;;de_gtfsde|381942;11;44;38.6;79.5;47.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|72721;13.8;55;32.7;70.9;56.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|548300;6.8;27;37;66.7;48.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|260901;13;52;36.5;71.2;53.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|271935;15;60;35;70;53.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|609323;7.5;30;56.7;93.3;43.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|239801;10.5;42;64.3;88.1;35.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|388851;14.8;59;67.8;94.9;30.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|328105;15.3;61;57.4;82;29.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|104584;3.3;13;53.8;61.5;15.4;A_QUALIFIER;
Allemagne;de_gtfsde;Hodenhagen;de_gtfsde|hodenhagen@52.77,9.60;7.3;29;24.1;79.3;72.4;A_QUALIFIER;
France;fr_sncf;Frontignan;fr_sncf|UIC87773556;5.3;32;37.5;62.5;28.1;A_QUALIFIER;
France;fr_sncf;Dorlisheim;fr_sncf|UIC87214338;3.3;13;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Bischoffsheim;fr_sncf|UIC87214296;3;12;91.7;100;8.3;QUARANTAINE;aucun retard superieur a 5 min
France;fr_sncf;Obernai;fr_sncf|UIC87214288;2.8;11;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;La Teste;fr_sncf|UIC87582643;6.5;26;69.2;92.3;26.9;A_QUALIFIER;
Pays-Bas;nl_ovapi;Vught;nl_ovapi|vught@51.66,5.29;16.4;82;43.9;97.6;54.9;A_QUALIFIER;
Etats-Unis;us_mbta;Attleboro;us_mbta|attleboro@41.94,-71.29;9.8;49;100;100;0;EXCLUE;source rejetee en bloc
Etats-Unis;us_mta_lirr;;us_mta_lirr|220;13.6;68;55.9;88.2;38.2;A_QUALIFIER;
Etats-Unis;us_mta_lirr;;us_mta_lirr|29;13.6;68;48.5;89.7;47.1;A_QUALIFIER;
France;fr_sncf;Albens;fr_sncf|UIC87746115;3.8;19;52.6;73.7;21.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|620514;4.3;17;52.9;70.6;23.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|152442;11.5;46;50;84.8;43.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|285857;11.8;47;36.2;63.8;53.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|291893;14.8;59;81.4;94.9;15.3;A_QUALIFIER;
