pays;reseau;nom;cle;N;Nobs;fraicheur;p60;p300;p600;dispersion;cvVolume;cvBrut;amplitudePonct;effetWeekend;jours;annulJour;supprJour;verdict;motif
Pays-Bas;nl_ovapi;Elst;nl_ovapi|elst@51.92,5.85;128.7;61.2;48;60.2;94;98.9;38.7;0.83;0.85;8;197;6;0.33;0;REJETEE;volume irregulier (CV 0.83)
Allemagne;de_gtfsde;;de_gtfsde|243001;112;61;54;34;56.1;71.3;37.3;1.27;1.22;61;15;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.27) , ponctualite erratique (amplitude 61 pt)
Pays-Bas;nl_ovapi;Weert;nl_ovapi|weert@51.25,5.70;81;60.8;75;63;94;98.1;35.1;0.4;0.34;8;98;6;0.5;0;REJETEE;volume irregulier (CV 0.40)
Pays-Bas;nl_ovapi;Lage Zwaluwe;nl_ovapi|lagezwaluwe@51.69,4.66;87.5;59.8;68;80.8;96.1;98.6;17.8;0.53;0.45;12;56;6;0.33;0;REJETEE;volume irregulier (CV 0.53)
Pays-Bas;nl_ovapi;Sittard;nl_ovapi|sittard@51.00,5.86;79.5;59.8;75;67.1;95;97.2;30.1;0.38;0.35;7;113;6;1;0;REJETEE;volume irregulier (CV 0.38)
Pays-Bas;nl_ovapi;Amsterdam RAI;nl_ovapi|amsterdamrai@52.34,4.89;77;59.8;78;70.2;96.1;98.3;28.1;0.6;0.6;9;164;6;0;0;REJETEE;volume irregulier (CV 0.60)
Allemagne;de_gtfsde;;de_gtfsde|500691;128.8;59.5;46;71.4;89.1;96.2;24.8;0.99;0.95;15;5;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 0.99)
Allemagne;de_gtfsde;;de_gtfsde|188368;101.8;57.8;57;31.6;66.2;82.7;51.1;1.37;1.32;19;12;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.37)
Pays-Bas;nl_ovapi;Utrecht Vaartsche Rijn;nl_ovapi|utrechtvaartscherijn@52.08,5.12;74.5;57.8;78;70.9;97.7;99.1;28.2;0.72;0.65;3;124;6;0.17;0;REJETEE;volume irregulier (CV 0.72)
Pays-Bas;nl_ovapi;Zwijndrecht;nl_ovapi|zwijndrecht@51.82,4.64;152.2;57.7;38;67.3;97.1;99.4;32.1;0.65;0.55;7;73;6;0.33;0;REJETEE;volume irregulier (CV 0.65)
Pays-Bas;nl_ovapi;Venlo;nl_ovapi|venlo@51.37,6.17;84.3;57.7;68;57.2;92.8;98.3;41;0.5;0.45;9;98;6;0.5;0;REJETEE;volume irregulier (CV 0.50)
Allemagne;de_gtfsde;;de_gtfsde|425522;87;57.3;66;40.2;78.6;89.5;49.3;1.2;1.13;23;14;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.20)
Pays-Bas;nl_ovapi;Den Haag Moerwijk;nl_ovapi|denhaagmoerwijk@52.05,4.31;100.2;57.2;57;76.7;97.7;98.8;22.2;0.62;0.55;10;57;6;0.17;0;REJETEE;volume irregulier (CV 0.62)
Allemagne;de_gtfsde;Karlsruhe Poststraße;de_gtfsde|karlsruhepoststrae@49.00,8.40;85;57.2;67;55.7;91.5;96.5;40.8;0.74;0.85;11;489;6;0;0;REJETEE;volume irregulier (CV 0.74)
Pays-Bas;nl_ovapi;Bergen op Zoom;nl_ovapi|bergenopzoom@51.49,4.30;84.7;57;67;60.5;96.2;98.8;38.3;0.61;0.5;5;71;6;0;0;REJETEE;volume irregulier (CV 0.61)
Allemagne;de_gtfsde;;de_gtfsde|208383;130.5;56.8;43;70.5;89;96;25.6;0.97;0.93;19;6;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 0.97)
Allemagne;de_gtfsde;;de_gtfsde|511315;112.5;56.8;50;47.1;73.6;82.8;35.7;1.21;1.19;28;13;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.21)
Allemagne;de_gtfsde;;de_gtfsde|179210;90.5;56.8;63;43.2;83.7;97.4;54.2;1.22;1.22;18;14;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.22)
